OrderNo,Order ID,Order Date,Customer ID,Product ID,Quantity
1,QEV-37451-860,2019-09-05,17670-51384-MA,R-M-1,2
2,QEV-37451-860,2019-09-05,17670-51384-MA,E-M-0.5,5
3,FAA-43335-268,2021-06-17,21125-22134-PX,A-L-1,1
4,KAC-83089-793,2021-07-15,23806-46781-OU,E-M-1,2
5,KAC-83089-793,2021-07-15,23806-46781-OU,R-L-2.5,2
6,CVP-18956-553,2021-08-04,86561-91660-RB,L-D-1,3
7,IPP-31994-879,2022-01-21,65223-29612-CB,E-D-0.5,3
8,SNZ-65340-705,2022-05-20,21134-81676-FR,L-L-0.2,1
9,EZT-46571-659,2019-01-02,03396-68805-ZC,R-M-0.5,3
10,NWQ-70061-912,2019-09-05,61021-27840-ZN,R-M-0.5,1
11,BKK-47233-845,2021-03-08,76239-90137-UQ,A-D-1,4
12,VQR-01002-970,2020-10-28,49315-21985-BB,E-L-2.5,5
13,SZW-48378-399,2022-07-02,34136-36674-OM,R-M-1,5
14,ITA-87418-783,2020-05-22,39396-12890-PE,R-D-2.5,2
15,GNZ-46006-527,2022-04-05,95875-73336-RG,L-D-0.2,3
16,FYQ-78248-319,2022-06-07,25473-43727-BY,R-M-2.5,5
17,VAU-44387-624,2019-03-20,99643-51048-IQ,A-M-0.2,6
18,RDW-33155-159,2019-10-19,62173-15287-CU,A-L-1,6
19,TDZ-59011-211,2019-06-13,57611-05522-ST,R-D-2.5,4
20,IDU-25793-399,2020-12-04,76664-37050-DT,A-M-0.2,5
21,IDU-25793-399,2020-12-04,76664-37050-DT,E-D-0.2,4
22,NUO-20013-488,2020-12-04,03090-88267-BQ,A-D-0.2,6
23,UQU-65630-479,2021-01-22,37651-47492-NC,R-M-2.5,4
24,FEO-11834-332,2022-02-11,95399-57205-HI,A-D-0.2,4
25,TKY-71558-096,2021-09-15,24010-66714-HW,A-M-1,1
26,OXY-65322-253,2020-10-24,07591-92789-UA,E-M-0.2,3
27,EVP-43500-491,2019-02-20,49231-44455-IC,A-M-0.5,4
28,WAG-26945-689,2019-10-08,50124-88608-EO,A-M-0.2,5
29,CHE-78995-767,2022-08-02,00888-74814-UZ,A-D-0.5,3
30,RYZ-14633-602,2019-02-20,14158-30713-OB,A-D-1,4
31,WOQ-36015-429,2021-09-25,51427-89175-QJ,L-M-0.2,5
32,WOQ-36015-429,2021-09-25,51427-89175-QJ,A-D-0.5,6
33,WOQ-36015-429,2021-09-25,51427-89175-QJ,L-M-0.5,6
34,SCT-60553-454,2021-07-17,39123-12846-YJ,L-L-0.2,5
35,GFK-52063-244,2020-06-29,44981-99666-XB,L-L-0.5,6
36,AMM-79521-378,2021-06-01,24825-51803-CQ,A-D-0.5,6
37,QUQ-90580-772,2021-02-06,77634-13918-GJ,L-M-0.2,2
38,LGD-24408-274,2019-04-25,13694-25001-LX,L-L-0.5,3
39,HCT-95608-959,2020-04-25,08523-01791-TI,R-M-2.5,5
40,OFX-99147-470,2021-11-24,49860-68865-AB,R-M-1,6
41,LUO-37559-016,2021-04-19,21240-83132-SP,L-M-1,3
42,XWC-20610-167,2022-07-07,08350-81623-TF,E-D-0.2,2
43,GPU-79113-136,2019-05-22,73284-01385-SJ,R-D-0.2,3
44,ULR-52653-960,2021-10-04,04152-34436-IE,L-L-2.5,2
45,HPI-42308-142,2020-04-11,06631-86965-XP,E-M-0.5,2
46,XHI-30227-581,2022-01-31,54619-08558-ZU,L-D-2.5,6
47,DJH-05202-380,2019-11-07,85589-17020-CX,E-M-2.5,2
48,VMW-26889-781,2019-06-28,36078-91009-WU,A-L-0.2,2
49,DBU-81099-586,2020-09-11,15770-27099-GX,A-D-2.5,4
50,PQA-54820-810,2022-08-17,91460-04823-BX,A-L-1,3
51,XKB-41924-202,2022-08-19,45089-52817-WN,L-D-0.5,2
52,DWZ-69106-473,2019-05-15,76447-50326-IC,L-L-2.5,4
53,YHV-68700-050,2019-09-11,26333-67911-OL,R-M-0.5,5
54,YHV-68700-050,2019-09-11,26333-67911-OL,L-L-2.5,2
55,KRB-88066-642,2021-03-16,22107-86640-SB,L-M-1,5
56,LQU-08404-173,2020-12-03,09960-34242-LZ,L-L-1,3
57,CWK-60159-881,2020-01-27,04671-85591-RT,E-D-0.2,3
58,EEG-74197-843,2022-07-17,25729-68859-UA,E-L-1,4
59,UCZ-59708-525,2022-03-04,05501-86351-NX,L-D-2.5,3
60,HUB-47311-849,2021-12-07,04521-04300-OK,L-M-0.5,3
61,WYM-17686-694,2021-02-25,58689-55264-VK,A-D-2.5,5
62,ZYQ-15797-695,2019-02-25,79436-73011-MM,R-D-0.5,5
63,EEJ-16185-108,2019-02-09,65552-60476-KY,L-L-0.2,5
64,RWR-77888-800,2020-02-07,69904-02729-YS,A-M-0.5,1
65,LHN-75209-742,2020-03-23,01433-04270-AX,R-M-0.5,6
66,TIR-71396-998,2022-03-06,14204-14186-LA,R-D-2.5,4
67,RXF-37618-213,2022-04-15,32948-34398-HC,R-L-0.5,1
68,ANM-16388-634,2021-11-19,77343-52608-FF,L-L-0.2,2
69,WYL-29300-070,2019-10-16,42770-36274-QA,R-M-0.2,1
70,JHW-74554-805,2019-11-26,14103-58987-ZU,R-M-1,6
71,KYS-27063-603,2019-06-30,69958-32065-SW,E-L-2.5,4
72,GAZ-58626-277,2021-01-04,69533-84907-FA,L-L-0.2,2
73,RPJ-37787-335,2020-10-27,76005-95461-CI,A-M-2.5,3
74,LEF-83057-763,2021-06-15,15395-90855-VB,L-M-0.2,5
75,RPW-36123-215,2021-07-19,80640-45811-LB,E-L-0.5,2
76,WLL-59044-117,2021-07-23,28476-04082-GR,R-D-1,6
77,AWT-22827-563,2020-01-25,12018-75670-EU,R-L-0.2,1
78,QLM-07145-668,2019-05-09,86437-17399-FK,E-D-0.2,2
79,HVQ-64398-930,2020-03-30,62979-53167-ML,A-M-0.5,6
80,WRT-40778-247,2022-03-13,54810-81899-HL,R-L-1,4
81,SUB-13006-125,2019-04-17,26103-41504-IB,A-L-0.5,5
82,CQM-49696-263,2019-10-25,76534-45229-SG,L-L-2.5,3
83,KXN-85094-246,2019-09-13,81744-27332-RR,L-M-2.5,3
84,XOQ-12405-419,2020-04-12,91513-75657-PH,R-D-2.5,4
85,HYF-10254-369,2019-11-14,30373-66619-CB,L-L-0.5,1
86,XXJ-47000-307,2019-07-18,31582-23562-FM,A-L-2.5,3
87,XXJ-47000-307,2019-07-18,31582-23562-FM,A-D-0.2,4
88,ZDK-82166-357,2021-04-03,81431-12577-VD,A-M-1,3
89,IHN-19982-362,2021-03-29,68894-91205-MP,R-L-1,3
